termDisplayName,termSourceNote,termSource
acrylic paintings,Creative works in the medium of acrylic paint.,Getty AAT
architectural drawings (visual works),"Drawings of architecture and drawings for architectural projects, whether the project was executed or not. The term may also refer to any image in a two-dimensional medium that serves this same purpose, including prints and computer images.",Getty AAT
architecture (object genre),"Structures or parts of structures that are the result of conscious construction, are of practical use, are relatively stable and permanent, and are of a size and scale appropriate for--but not limited to--habitable buildings. Works of architecture are manifestations of the built environment that is typically classified as fine art, meaning it is generally considered to have aesthetic value, was designed by an architect (whether or not his or her name is known), and constructed with skilled labor. For the art or science of designing and building structures, use architecture",Getty AAT
art objects (object genres),"Works of the fine or decorative arts when their qualities as discrete and coherent individual objects are emphasized, e.g., in relation to conservation or inventorying. When the aesthetic nature of works is emphasized, use works",Getty AAT
assemblages (sculpture),"Sculptural works created since about 1945 by the technique of assemblage, the creation of a three-dimensional work of art by combining various elements, especially found objects. They may include elements painted, carved, or modeled by the artist. For such works created earlier in the 20th century, see object",Getty AAT
bas-reliefs (sculpture),Refers to works executed in relatively shallow relief.,Getty AAT
