identificationNumber,Relationship,title,blob_uri,externalUrl,rightsHolder_org,rightsHolder_person,publishTo
m1,38923,Argent_I See What_phonecast.mp3,http://publicartarchive.org/sites/default/files/Argent_I See What_phonecast_1.mp3,,DOCA,,
m2,38917,Argent_I See What_video.mp4,http://publicartarchive.org/sites/default/files/Argent_I See What_video_1.mp4,,DOCA,,
m3,38911,Argent_ISeeWhat_pressrelease.pdf,http://publicartarchive.org/sites/default/files/Argent_ISeeWhat_pressrelease_0.pdf,,DOCA,,
m4,38905,Argent_ISeeWhat_image1,http://www.publicartarchive.org/sites/default/files/imagecache/work_big_image/doca/DOCA_ArgIse_1.jpg,,Arts & Venues Denver: Public Art Program,,
m5,85832,Argent_ISeeWhat_image2,http://www.publicartarchive.org/sites/default/files/imagecache/work_big_image/doca/DOCA_ArgIse_2.jpg,,Arts & Venues Denver: Public Art Program,,Public Art Archive
